2024-10-29 18:30:49,752: asyncio: INFO: [MLTrader] Executing the initialize lifecycle method
2024-10-29 18:31:04,997: root: INFO: Current backtesting datetime 2023-06-29 08:30:00-04:00
2024-10-29 18:31:05,037: asyncio: INFO: [MLTrader] Executing the before_market_opens lifecycle method
2024-10-29 18:31:05,060: root: INFO: Current backtesting datetime 2023-06-29 09:30:00-04:00
2024-10-29 18:31:05,061: asyncio: INFO: [MLTrader] Executing the before_starting_trading lifecycle method
2024-10-29 18:31:05,109: asyncio: INFO: [MLTrader] [34mExecuting the on_trading_iteration lifecycle method at 2024-10-29 18:31:05[0m
2024-10-29 18:31:05,165: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-10-29 18:31:11,739: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-10-29 18:31:34,678: asyncio: INFO: [MLTrader] [32mNew order was created: market order of | 115.0 SPY sell | at price $348.76799316406255 of class bracket with status new[0m
2024-10-29 18:31:34,748: asyncio: INFO: [MLTrader] [34mTrading iteration ended at 2024-10-29 18:31:34[0m
2024-10-29 18:31:34,752: asyncio: INFO: [MLTrader] Getting historical prices for SPY, 1 bars, 
2024-10-29 18:31:34,755: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-10-29 18:31:34,760: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-10-29 18:31:34,765: root: INFO: market order of | 115.0 SPY sell | at price $348.76799316406255 of class bracket with status new was sent to broker backtesting
2024-10-29 18:31:34,765: root: INFO: market order of | 115.0 SPY sell | at price $348.76799316406255 of class bracket with status new was sent to broker backtesting
2024-10-29 18:31:34,770: asyncio: INFO: [MLTrader] [32mOrder was filled: market order of | 115.0 SPY sell | at price $435.96 of class bracket with status fill[0m
2024-10-29 18:31:34,814: asyncio: INFO: [MLTrader] [34mSleeping for 86400 seconds[0m
2024-10-29 18:31:34,833: root: INFO: Current backtesting datetime 2023-06-29 16:00:00-04:00
2024-10-29 18:31:34,837: root: INFO: Current backtesting datetime 2023-06-30 09:30:00-04:00
2024-10-29 18:31:34,846: asyncio: INFO: [MLTrader] [34mExecuting the on_trading_iteration lifecycle method at 2024-10-29 18:31:34[0m
2024-10-29 18:31:34,847: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-10-29 18:31:34,853: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-10-29 18:31:44,903: asyncio: INFO: [MLTrader] [34mTrading iteration ended at 2024-10-29 18:31:44[0m
2024-10-29 18:31:44,920: asyncio: INFO: [MLTrader] Getting historical prices for SPY, 1 bars, 
2024-10-29 18:31:44,921: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-10-29 18:31:45,069: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-10-29 18:31:45,100: asyncio: INFO: [MLTrader] Getting historical prices for SPY, 1 bars, 
2024-10-29 18:31:45,100: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-10-29 18:31:45,104: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-10-29 18:31:45,186: asyncio: INFO: [MLTrader] [34mSleeping for 86400 seconds[0m
2024-10-29 18:31:45,201: root: INFO: Current backtesting datetime 2023-06-30 16:00:00-04:00
2024-10-29 18:31:45,217: root: INFO: Current backtesting datetime 2023-07-01 09:30:00-04:00
2024-10-29 18:31:45,285: asyncio: INFO: [MLTrader] [34mThe market is not currently open, skipping this trading iteration[0m
2024-10-29 18:31:45,287: asyncio: INFO: [MLTrader] Getting historical prices for SPY, 1 bars, 
2024-10-29 18:31:45,296: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-10-29 18:31:45,309: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-10-29 18:31:45,311: asyncio: INFO: [MLTrader] Getting historical prices for SPY, 1 bars, 
2024-10-29 18:31:45,312: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-10-29 18:31:45,317: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-10-29 18:31:45,329: asyncio: INFO: [MLTrader] Getting historical prices for SPY, 1 bars, 
2024-10-29 18:31:45,329: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-10-29 18:31:45,384: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-10-29 18:31:45,387: asyncio: INFO: [MLTrader] Getting historical prices for SPY, 1 bars, 
2024-10-29 18:31:45,388: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-10-29 18:31:45,405: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-10-29 18:31:45,447: root: INFO: Current backtesting datetime 2023-07-01 09:29:00-04:00
2024-10-29 18:31:45,450: asyncio: INFO: [MLTrader] Getting historical prices for SPY, 1 bars, 
2024-10-29 18:31:45,450: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-10-29 18:31:45,458: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-10-29 18:31:45,460: asyncio: INFO: [MLTrader] Getting historical prices for SPY, 1 bars, 
2024-10-29 18:31:45,460: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-10-29 18:31:45,465: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-10-29 18:31:45,496: root: INFO: Current backtesting datetime 2023-07-01 09:29:00-04:00
2024-10-29 18:31:45,497: asyncio: INFO: [MLTrader] Executing the after_market_closes lifecycle method
2024-10-29 18:31:45,505: asyncio: INFO: [MLTrader] Getting historical prices for SPY, 1 bars, 
2024-10-29 18:31:45,507: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-10-29 18:31:45,536: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-10-29 18:31:45,539: asyncio: INFO: [MLTrader] Getting historical prices for SPY, 1 bars, 
2024-10-29 18:31:45,540: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-10-29 18:31:45,546: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-10-29 18:31:45,584: root: INFO: Current backtesting datetime 2023-07-03 08:30:00-04:00
2024-10-29 18:31:45,731: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-10-29 18:31:45,776: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-10-29 18:31:45,844: asyncio: INFO: [MLTrader] Executing the before_market_opens lifecycle method
2024-10-29 18:31:45,846: asyncio: INFO: [MLTrader] Getting historical prices for SPY, 1 bars, 
2024-10-29 18:31:45,846: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-10-29 18:31:45,851: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-10-29 18:31:45,858: asyncio: INFO: [MLTrader] Getting historical prices for SPY, 1 bars, 
2024-10-29 18:31:45,859: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-10-29 18:31:45,867: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-10-29 18:31:45,970: root: INFO: Current backtesting datetime 2023-07-03 09:30:00-04:00
2024-10-29 18:31:45,970: asyncio: INFO: [MLTrader] Executing the before_starting_trading lifecycle method
2024-10-29 18:31:46,015: asyncio: INFO: [MLTrader] [34mExecuting the on_trading_iteration lifecycle method at 2024-10-29 18:31:46[0m
2024-10-29 18:31:46,026: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-10-29 18:31:46,064: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-10-29 18:31:55,885: asyncio: INFO: [MLTrader] [34mTrading iteration ended at 2024-10-29 18:31:55[0m
2024-10-29 18:31:55,894: asyncio: INFO: [MLTrader] Getting historical prices for SPY, 1 bars, 
2024-10-29 18:31:55,894: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-10-29 18:31:56,125: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-10-29 18:31:56,144: asyncio: INFO: [MLTrader] Getting historical prices for SPY, 1 bars, 
2024-10-29 18:31:56,144: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-10-29 18:31:56,153: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-10-29 18:31:56,184: asyncio: INFO: [MLTrader] [34mSleeping for 86400 seconds[0m
2024-10-29 18:31:56,198: root: INFO: Current backtesting datetime 2023-07-03 13:00:00-04:00
2024-10-29 18:31:56,206: root: INFO: Current backtesting datetime 2023-07-04 09:30:00-04:00
2024-10-29 18:31:56,217: asyncio: INFO: [MLTrader] [34mThe market is not currently open, skipping this trading iteration[0m
