time,strategy,identifier,symbol,side,type,status,multiplier,time_in_force,asset.strike,asset.multiplier,asset.asset_type,price,filled_quantity,trade_cost
2023-10-26 09:30:00-04:00,MLTrader,0f1979fce4ca4d30884865872b2dc14d,GOOGL,sell,market,new,1,gtc,0.0,1,stock,,,
2023-10-26 09:30:00-04:00,MLTrader,0f1979fce4ca4d30884865872b2dc14d,GOOGL,sell,market,fill,1,gtc,0.0,1,stock,123.2699966430664,406.0,0.0
2023-11-03 09:30:00-04:00,MLTrader,0c0e6ddc6fea410fb90649645fae6a64,GOOGL,buy,limit,canceled,1,day,0.0,1,stock,,,
2023-11-03 09:30:00-04:00,MLTrader,6709f133c63447dda85651f9c1eead40,GOOGL,buy,stop,fill,1,day,0.0,1,stock,129.43349647521973,406.0,0.0
